id	type	longitude	latitude	elevation
13067	136	-97.7481	30.2771	0.0
13068	136	-97.7479	30.2777	0.0
13069	136	-97.7468	30.2774	0.0
13070	136	-97.7456	30.274	0.0
13071	136	-97.7459	30.2731	0.0
13072	136	-97.7463	30.2721	0.0
13073	136	-97.7467	30.2712	0.0
13075	136	-97.7474	30.2693	0.0
13076	136	-97.7467	30.2743	0.0
13077	136	-97.747	30.2734	0.0
13078	136	-97.7474	30.2724	0.0
13079	136	-97.7477	30.2715	0.0
13080	136	-97.7481	30.2706	0.0
13081	136	-97.7484	30.2696	0.0
13082	136	-97.7488	30.2687	0.0
13083	136	-97.7495	30.2668	0.0
13084	136	-97.7489	30.2749	0.0
13085	136	-97.7492	30.274	0.0
13086	136	-97.7499	30.2721	0.0
13087	136	-97.7502	30.2712	0.0
13088	136	-97.7506	30.2703	0.0
13089	136	-97.7514	30.2684	0.0
13091	136	-97.7499	30.2764	0.0
13093	136	-97.7488	30.2718	0.0
13094	136	-97.7361	30.2631	0.0
13095	136	-97.7473	30.2924	0.0
13096	136	-97.7505	30.2997	0.0
13098	136	-97.7511	30.2775	0.0
13099	136	-97.7516	30.2801	0.0
13100	136	-97.7414	30.2891	0.0
13101	136	-97.7522	30.2898	0.0
13102	136	-97.7445	30.2893	0.0
13103	136	-97.7431	30.2878	0.0
13104	136	-97.7428	30.2921	0.0
13105	136	-97.7426	30.2948	0.0
13106	136	-97.7418	30.2636	0.0
13107	136	-97.7429	30.2639	0.0
13108	136	-97.7442	30.2643	0.0
13109	136	-97.7455	30.2647	0.0
13110	136	-97.7466	30.265	0.0
13111	136	-97.7477	30.2653	0.0
13112	136	-97.7368	30.2643	0.0
13113	136	-97.7365	30.2652	0.0
13114	136	-97.7361	30.2662	0.0
13115	136	-97.7357	30.264	0.0
13116	136	-97.7336	30.2697	0.0
13118	136	-97.7235	30.2893	0.0
13119	136	-97.7272	30.2911	0.0
13122	136	-97.7362	30.2963	0.0
13123	136	-97.7359	30.2968	0.0
13124	136	-97.7406	30.2989	0.0
13125	136	-97.7404	30.2991	0.0
13126	136	-97.7455	30.3015	0.0
13128	136	-97.7268	30.2891	0.0
13130	136	-97.7443	30.2695	0.0
13131	136	-97.7458	30.2658	0.0
13132	136	-97.7449	30.2645	0.0
13133	136	-97.7468	30.2661	0.0
13134	136	-97.7413	30.2666	0.0
13135	136	-97.7406	30.2685	0.0
13136	136	-97.7405	30.267	0.0
13137	136	-97.7421	30.2679	0.0
