id	type	origin	dest	dtime	vot
1480	111	130615	200379	610	9.233850564987955
3852	111	125694	232077	611	14.646074113875743
1591	111	126399	200381	614	20.176450674681085
2240	111	125545	200376	614	16.798764771163743
3200	111	125553	201413	614	11.18674914907089
1702	111	131536	200344	615	17.37492987247946
294	111	100377	226393	616	98.47258841487688
1691	111	131536	225551	619	2.86097251568105
1269	111	126386	200385	626	39.578514496519404
2404	111	133099	200374	626	27.799150653377122
1077	111	126384	225673	628	44.75223429305518
2339	111	125545	230616	635	21.45197214256772
2357	111	133099	200344	636	33.36124192952149
1717	111	131536	226359	639	3.946883049864587
2270	111	125545	200381	639	2.992990185503035
1619	111	126399	231786	641	15.827648208159427
945	111	101409	233099	644	39.30087268143436
3178	111	125553	226364	645	5.147588835974421
3270	111	125682	233096	646	10.465203909863988
1961	111	126307	200361	647	33.53239315884971
1976	111	125669	200849	652	3.0836259443478795
825	111	126364	200344	655	7.985857842363245
127	111	100362	231791	657	12.245976018657537
1670	111	131027	231791	657	1.0228035716780788
1799	111	131536	200383	657	2.8926029007263496
3620	111	129912	225673	658	54.770736725539166
1344	111	126386	233099	662	12.268460746350025
1896	111	131536	200406	666	0.4155065594270024
1651	111	131027	225469	672	50.44416072221207
156	111	126359	225545	678	0.017599483790749167
585	111	125469	200361	681	3.593033281357706
3865	111	125694	200405	683	46.6483342143036
1448	111	100404	200383	686	28.202936535142204
390	111	100378	231483	689	3.2059837929322352
1768	111	131536	200378	690	5.7180680162510225
1000	111	101413	231027	696	3.9666371444571094
833	111	126364	200356	699	2.246132664253882
1678	111	131536	225669	699	23.17237453365507
2219	111	125545	200379	701	6.990988266466044
2067	111	125669	231786	707	34.18958286079993
3491	111	125682	226399	708	41.96958347311897
3279	111	125682	229913	710	13.296967222824316
842	111	126364	200360	713	40.875880946927346
3423	111	125682	201413	714	17.73204403242641
3712	111	129912	200378	722	20.358191789752148
3029	111	125553	225545	725	2.5494507277908243
939	111	131229	200361	728	10.53291342930339
1910	111	131536	230616	738	0.044081042129538964
3162	111	125553	226364	738	55.927324494540315
3115	111	125553	226359	739	15.351257927960337
2709	111	125551	225545	740	34.97944816300091
3359	111	125682	200383	746	27.187106295744925
3741	111	129912	200377	752	37.05854074826166
2198	111	125545	232097	754	43.61105381827619
2965	111	132077	226399	758	6.2811233019225385
1709	111	131536	200358	761	34.68831852051871
2730	111	125551	225545	765	22.791823969751285
3387	111	125682	200385	765	52.83499137821219
1793	111	131536	200383	767	3.2405989872782186
3583	111	129912	201413	767	5.483626132187151
577	111	125469	200362	768	32.96218294270812
1214	111	126384	200384	768	49.66738322043946
2930	111	125551	226393	768	26.247417898680332
1964	111	126307	200361	770	4.583415305528619
3840	111	100344	200358	771	0.676585462088301
1095	111	126384	225673	772	16.132798873579276
2029	111	125669	200381	774	4.601603040099068
2351	111	133099	225551	779	28.761045122120322
3482	111	125682	226393	779	24.1997701977791
2544	111	133099	201413	782	43.12603288248714
3756	111	129912	200377	786	20.22038567343841
3022	111	125553	225545	789	10.38829775149851
3823	111	129912	200381	789	35.461303391585474
651	111	125469	200380	790	56.95330804324738
3696	111	129912	200373	790	5.039750985723436
222	111	126359	200361	791	39.53346504851727
1646	111	131027	200377	796	1.1726264411562415
