id	type	origin	destination	demand
1756	111	100403	226359	7.10144
1757	111	100403	200373	1.0
1758	111	100403	200372	1.0
1759	111	100403	200379	5.0
1760	111	100403	200378	3.0
1761	111	100403	226234	1.11927
1762	111	100403	200377	4.0
1763	111	100403	200376	2.0
1764	111	100403	231551	1.867382
1765	111	100403	200383	4.0
1766	111	100403	200382	2.0
1767	111	100403	200381	6.0
1768	111	100403	225469	3.23308
1769	111	100403	200380	3.0
1770	111	100403	226364	8.673900000000001
1771	111	126386	226307	1.74855
1772	111	126386	200386	34.97107
1773	111	126386	201410	27.97685
1774	111	126386	201409	40.21672
1775	111	126386	200385	660.9531000000001
1776	111	126386	200384	41.96526000000001
1777	111	126386	201408	38.46819
1778	111	126386	201413	592.4098
1779	111	126386	233099	160.8667
1780	111	126386	225545	27.854450000000003
1781	111	126386	225673	1.1219864000000002
1782	111	126386	225551	3.71392
1783	111	126386	200403	9.28481
1784	111	126386	225553	27.854480000000002
1785	111	126386	200849	20.4266
1786	111	126386	200407	6.99421
1787	111	126386	200406	8.74276
1788	111	126386	200405	11.14177
1789	111	126386	200404	5.57088
1790	111	126386	226393	25.814379999999996
1791	111	126386	200344	1.74855
1792	111	126386	225698	0.864787
1793	111	126386	200359	40.21672
1794	111	126386	200358	22.73119
1795	111	126386	200356	10.49132
1796	111	126386	200363	1.74855
1797	111	126386	231786	24.140520000000002
1798	111	126386	200362	494.49080000000004
1799	111	126386	200361	1.74855
1800	111	126386	200360	3.4971
1801	111	126386	200375	50.708079999999995
1802	111	126386	200374	19.234090000000005
1803	111	126386	200373	13.988430000000001
1804	111	126386	200372	22.28355
1805	111	126386	231483	1.74855
1806	111	126386	200379	34.97106
1807	111	126386	200378	38.468140000000005
1808	111	126386	226234	50.70803
1809	111	126386	200377	87.42757
1810	111	126386	200376	103.16465000000001
1811	111	126386	200383	43.71383
1812	111	126386	200382	13.988420000000001
1813	111	126386	225469	6.36473
1814	111	126386	200381	36.71959
1815	111	126386	200380	15.73697
1816	111	100405	225669	7.50668
1817	111	100405	225545	51.7722
1818	111	100405	225673	0.099732
1819	111	100405	225551	0.748972
1820	111	100405	200849	4.0
1821	111	100405	229913	1.95356
1822	111	100405	200345	3.0
1823	111	100405	200344	4.0
1824	111	100405	225698	2.05474
1825	111	100405	232097	4.67493
1826	111	100405	200359	2.0
1827	111	100405	200358	2.0
1828	111	100405	200356	2.0
1829	111	100405	200362	7.0
1830	111	100405	200361	5.0
1831	111	100405	200360	3.0
1832	111	100405	200375	3.0
1833	111	100405	226359	17.7536
1834	111	100405	200374	1.0
1835	111	100405	200373	2.0
1836	111	100405	200372	3.0
1837	111	100405	200379	11.0
1838	111	100405	231483	14.25
1839	111	100405	200378	8.0
1840	111	100405	226234	2.23854
1841	111	100405	200377	9.0
1842	111	100405	200376	6.0
1843	111	100405	200383	9.0
1844	111	100405	200382	7.0
1845	111	100405	200381	13.0
1846	111	100405	225469	32.3308
1847	111	100405	200380	8.0
1848	111	100405	226364	8.673900000000001
1849	111	100405	201410	1.0
1850	111	100405	200386	1.0
1851	111	100405	201409	3.0
1852	111	100405	200385	2.0
1853	111	100405	201408	5.0
1854	111	100405	200384	4.0
1855	111	100405	201413	10.0
1856	111	100405	230479	4.07874
1857	111	100405	200403	3.0
1858	111	100405	226386	8.05725
1859	111	100405	230615	1.613212
1860	111	100405	200407	4.0
1861	111	100405	200406	8.0
1862	111	100405	200404	2.0
1863	111	100405	226393	9.757851
1864	111	100405	230616	6.82016
1865	111	100405	230631	1.188
1866	111	100405	231786	12.049064000000001
1867	111	100405	231791	17.8149
1868	111	100405	231551	3.734764
1869	111	100404	225669	3.75334
1870	111	100404	225545	31.063319999999994
1871	111	100404	225673	0.024933
1872	111	100404	225551	2.808655
1873	111	100404	225553	4.165649999999999
1874	111	100404	200849	1.0
1875	111	100404	229913	0.651186
1876	111	100404	200345	1.0
1877	111	100404	200344	3.0
1878	111	100404	225698	1.02737
1879	111	100404	200359	1.0
1880	111	100404	200356	1.0
1881	111	100404	200362	3.0
1882	111	100404	200361	2.0
1883	111	100404	200360	1.0
1884	111	100404	200375	1.0
1885	111	100404	226359	7.10144
1886	111	100404	200374	1.0
1887	111	100404	200372	1.0
1888	111	100404	200379	5.0
1889	111	100404	231483	14.25
1890	111	100404	200378	3.0
1891	111	100404	226234	2.23854
1892	111	100404	200377	3.0
1893	111	100404	200376	3.0
1894	111	100404	200383	3.0
1895	111	100404	200382	3.0
1896	111	100404	200381	4.0
1897	111	100404	225469	1.61654
1898	111	100404	200380	2.0
1899	111	100404	226364	7.228250000000001
1900	111	100404	200386	1.0
