18735	38654
21515	44780
26489	55023
26929	55138
28192	58483
28523	59163
28718	59518
28883	59755
34849	72047
41989	86645
46778	96288
55015	112719
57939	118696
8253	16815
14239	27830
15127	30916
32358	66883
35284	72726
375	853
33430	68966
56684	116058
1407	3122
1566	3449
8170	16940
28325	58661
9244	19132
18061	37267
51946	105941
52344	107559
53028	108931
57364	116983
57940	118696
58346	119633
59559	121383
59902	122558
15128	30916
34622	71179
8972	18629
28597	59265
55016	112719
58888	120602
3953	8245
4022	8449
4981	10474
9245	19132
10891	22498
12032	23778
12876	26307
17556	36199
17920	37004
18062	37267
18885	38873
20995	43796
21030	43872
21369	44577
27405	56853
28368	58680
28745	59526
28763	59538
29053	59801
31159	64377
31831	65933
32085	66450
32582	67460
34850	72047
35749	73714
49804	101628
50675	103496
52690	107469
52858	107414
55657	113904
57941	118696
9988	20652
7935	16592
8254	16815
14240	27830
16452	33968
32359	66883
34044	70401
35285	72726
41727	86033
46474	95632
47270	97298
47684	97499
48964	100681
49891	102611
9246	19132
11100	23161
12565	25375
15129	30916
16798	34499
18063	37267
57942	118696
49033	100897
49128	100878
55017	112719
59560	121383
8973	18629
9247	19132
12033	23778
12877	26307
18064	37267
34851	72047
57943	118696
58889	120602
40498	81948
50856	104578
60395	123554
4743	9968
4992	10521
5834	12163
15130	30916
20823	43464
21016	43857
21058	43875
21071	43971
21193	44189
21342	44530
21442	44719
22190	46217
24658	50942
25497	52845
25834	53580
26650	55042
30515	63204
30555	63283
30804	63775
31233	64388
31272	64794
32959	68207
34623	71179
37070	76657
41896	86417
42038	86630
42092	86615
42442	87260
46507	95629
47474	97541
49699	101691
60100	123154
60687	124090
60959	124883
61046	124874
61719	126206
61800	126165
61964	126903
62650	127965
62703	127904
51947	105941
52345	107559
53029	108931
57365	116983
58347	119633
376	853
9248	19132
18065	37267
57944	118696
8255	16815
14241	27830
32360	66883
35286	72726
37941	78152
38783	79842
39413	81250
41001	84622
55018	112719
15131	30916
6063	12715
9249	19132
10536	22034
10892	22498
11101	23161
12034	23778
12566	25375
12878	26307
16799	34499
17415	35922
18066	37267
18502	38180
21102	43986
25164	52054
29616	61232
31832	65933
34852	72047
35750	73714
50676	103496
52691	107469
52859	107414
55658	113904
57945	118696
59561	121383
60836	124414
61387	125561
62311	127490
8974	18629
58890	120602
33431	68966
56685	116058
9250	19132
18067	37267
57946	118696
10724	22103
15132	30916
15885	32862
31557	65380
34219	70750
34624	71179
35906	74136
43913	90363
55019	112719
2078	4545
4118	8670
6184	12957
15961	33004
21313	44399
23992	49682
26782	55115
30715	63605
31328	64822
32045	66343
36969	76413
37770	78089
42244	87045
42586	87815
43475	89653
45741	93964
45942	94266
59903	122558
60288	123445
60895	124391
7936	16592
8256	16815
9251	19132
12035	23778
12879	26307
14242	27830
16453	33968
18068	37267
32361	66883
34853	72047
35287	72726
41728	86033
57947	118696
8975	18629
